term,estimate,se,p,n,lambda,resid_moran,class,response,response_type,hypothesis,thermal,p_adj
bio12_mean,-0.130578044408229,0.0330982868403189,7.97466406361469e-05,3782,0.983525463531862,-0.0239992684831753,Mammalia,NICHE,functional axis,Water availability,Endotherm,0.000291953803006911
npp,0.0479942983268082,0.0163733740022461,0.00337611211070277,3782,0.983525463531862,-0.0239992684831753,Mammalia,NICHE,functional axis,Productivity,Endotherm,0.00857929665778585
elev_range,-0.0536631847970671,0.0084386547761386,2.02792893588821e-10,3782,0.983525463531862,-0.0239992684831753,Mammalia,NICHE,functional axis,Habitat heterogeneity,Endotherm,1.46010883383951e-09
bio4_mean,-0.193669516239954,0.0479089806713556,5.28962664025912e-05,3782,0.983525463531862,-0.0239992684831753,Mammalia,NICHE,functional axis,Climatic seasonality,Endotherm,0.000211585065610365
hfp2020,0.0197571907799486,0.0104294322712809,0.0581760787480683,3782,0.983525463531862,-0.0239992684831753,Mammalia,NICHE,functional axis,Human pressure,Endotherm,0.108327870772265
bio1_mean,0.120982012402162,0.0316075433978527,0.000129382536096845,3196,0.938022995511559,-0.0370872181149521,Reptilia,size,single trait,Ambient energy,Ectotherm,0.000443597270408245
bio12_mean,0.348782861877921,0.0458017817870754,2.64233079860787e-14,3196,0.938022995511559,-0.0370872181149521,Reptilia,size,single trait,Water availability,Ectotherm,3.35731442646647e-13
npp,-0.115747871132987,0.0230983060617428,5.41203936776924e-07,3196,0.938022995511559,-0.0370872181149521,Reptilia,size,single trait,Productivity,Ectotherm,2.85122074009306e-06
elev_range,-0.0116460174143036,0.0131658238010278,0.376391680640254,3196,0.938022995511559,-0.0370872181149521,Reptilia,size,single trait,Habitat heterogeneity,Ectotherm,0.478238841284088
bio4_mean,-0.0809569179042406,0.057763171816162,0.161055127145625,3196,0.938022995511559,-0.0370872181149521,Reptilia,size,single trait,Climatic seasonality,Ectotherm,0.255793437231287
hfp2020,0.0985570626827368,0.0152563351831284,1.04651398658007e-10,3196,0.938022995511559,-0.0370872181149521,Reptilia,size,single trait,Human pressure,Ectotherm,7.92263358366184e-10
bio1_mean,0.178938679223466,0.0294147368448736,1.17733489624072e-09,3196,0.960190518264309,-0.0458771351778419,Reptilia,fecundity,single trait,Ambient energy,Ectotherm,7.70619204812109e-09
bio12_mean,0.203134543771754,0.0417249896010506,1.12497184145965e-06,3196,0.960190518264309,-0.0458771351778419,Reptilia,fecundity,single trait,Water availability,Ectotherm,5.65102134314617e-06
npp,-0.124771048596776,0.0203616811600857,8.91371643163552e-10,3196,0.960190518264309,-0.0458771351778419,Reptilia,fecundity,single trait,Productivity,Ectotherm,6.21084757817185e-09
elev_range,0.0134220375227068,0.011541036210914,0.244836097255022,3196,0.960190518264309,-0.0458771351778419,Reptilia,fecundity,single trait,Habitat heterogeneity,Ectotherm,0.357328358155978
bio4_mean,-0.134999530931595,0.0571814018064084,0.0182306807315424,3196,0.960190518264309,-0.0458771351778419,Reptilia,fecundity,single trait,Climatic seasonality,Ectotherm,0.0378637215193574
hfp2020,0.0644246003216397,0.0134098678762378,1.55318606842592e-06,3196,0.960190518264309,-0.0458771351778419,Reptilia,fecundity,single trait,Human pressure,Ectotherm,7.29322153869561e-06
bio1_mean,0.141301805449594,0.0278817132007123,4.02223222284448e-07,3196,0.961479188026296,-0.00325854134748671,Reptilia,nocturnality,single trait,Ambient energy,Ectotherm,2.22769784649848e-06
bio12_mean,0.277170060680102,0.0394883372543344,2.23399077015074e-12,3196,0.961479188026296,-0.00325854134748671,Reptilia,nocturnality,single trait,Water availability,Ectotherm,2.098008723272e-11
npp,-0.0540569896760828,0.0192375141475956,0.00495449013746141,3196,0.961479188026296,-0.00325854134748671,Reptilia,nocturnality,single trait,Productivity,Ectotherm,0.0117601084581502
elev_range,0.00544751277828535,0.0109012369838841,0.617275695411403,3196,0.961479188026296,-0.00325854134748671,Reptilia,nocturnality,single trait,Habitat heterogeneity,Ectotherm,0.70513225241724
bio4_mean,0.0233260362431365,0.0543774496472361,0.667948514356641,3196,0.961479188026296,-0.00325854134748671,Reptilia,nocturnality,single trait,Climatic seasonality,Ectotherm,0.722873973796893
