class,grain,env,trait,stat,p_maxtest,p_naive,r2_naive,p_naive_adj,thermal
Aves,50km,npp,range_size,-0.104404377196263,0.00344827586206897,5.21094880083118e-38,0.133584353046241,9.83197886949279e-38,Endotherm
Aves,50km,elev_range,range_size,-0.196935270653189,0.00344827586206897,1.82247860525748e-61,0.210380185202011,4.44506976892069e-61,Endotherm
Aves,50km,het_shannon,range_size,-0.131739356366597,0.00344827586206897,6.16498966483881e-47,0.163633140719515,1.25816115608955e-46,Endotherm
Aves,50km,hfp2020,range_size,-0.0586975792043828,0.0273972602739726,7.19558949931998e-16,0.0546263965461249,9.46788092015787e-16,Endotherm
Aves,50km,lc_cropland,range_size,0.0764415229112657,0.00344827586206897,0.000328681533509887,0.0110728341583885,0.000369305093831334,Endotherm
Aves,100km,bio1_mean,body_mass,-0.0931372855065881,0.00338983050847458,1.52483028218459e-44,0.186902619292595,3.31484843953172e-44,Endotherm
Aves,100km,bio6_mean,body_mass,-0.13240579211536,0.00338983050847458,7.48309431989919e-105,0.392920156822423,3.11795596662466e-104,Endotherm
Aves,100km,bio4_mean,body_mass,0.166557180416406,0.00338983050847458,2.66852341877029e-159,0.53385954448174,1.90608815626449e-158,Endotherm
Aves,100km,bio12_mean,body_mass,-0.11386919054105,0.00338983050847458,2.53982108060372e-91,0.351751947968699,9.40674474297675e-91,Endotherm
Aves,100km,bio15_mean,body_mass,0.0626758743367074,0.0147058823529412,1.93193394762834e-27,0.116894975907956,3.01864679316929e-27,Endotherm
Aves,100km,npp,body_mass,-0.0443731941487478,0.175,1.46570510719876e-27,0.11740539775866,2.36404049548186e-27,Endotherm
Aves,100km,elev_range,body_mass,-0.0964976909920179,0.00338983050847458,6.33089500454066e-38,0.160470275385122,1.3189364592793e-37,Endotherm
Aves,100km,het_shannon,body_mass,-0.0742208933760781,0.00338983050847458,1.41465409575273e-37,0.1590527737421,2.88704917500558e-37,Endotherm
Aves,100km,hfp2020,body_mass,-0.0361546693042324,0.180487804878049,8.97246993174896e-20,0.0837006236798086,1.26372815940126e-19,Endotherm
Aves,100km,lc_cropland,body_mass,0.035323512760337,0.0702702702702703,0.338175085500552,0.000967697308288543,0.355973774211107,Endotherm
Aves,100km,bio1_mean,body_length,-0.052767414345466,0.0974358974358974,3.03515217841275e-18,0.0769481090360758,4.15774271015445e-18,Endotherm
Aves,100km,bio6_mean,body_length,-0.0881577513302333,0.0126984126984127,4.23452282714121e-57,0.234833792963359,1.11434811240558e-56,Endotherm
Aves,100km,bio4_mean,body_length,0.130390584407847,0.00338983050847458,2.45457768425839e-139,0.486439184572194,1.22728884212919e-138,Endotherm
Aves,100km,bio12_mean,body_length,-0.0729289202551939,0.0309859154929577,2.29811916906668e-49,0.205647604680552,5.344463183876e-49,Endotherm
Aves,100km,bio15_mean,body_length,0.0413854291492611,0.0702702702702703,1.06161089907697e-17,0.0745368343395913,1.43460932307699e-17,Endotherm
Aves,100km,npp,body_length,-0.0128357652365713,0.7125,4.17631576694784e-08,0.0312335016462088,5.2203947086848e-08,Endotherm
Aves,100km,elev_range,body_length,-0.0937522731484281,0.00338983050847458,1.55663228091609e-59,0.243800347483143,4.32397855810026e-59,Endotherm
Aves,100km,het_shannon,body_length,-0.0561302821925282,0.0147058823529412,5.28483604083649e-26,0.110758302169658,7.77181770711248e-26,Endotherm
Aves,100km,hfp2020,body_length,-0.00869953046316371,0.76734693877551,2.40655927302493e-05,0.0186492372577278,2.83124620355874e-05,Endotherm
Aves,100km,lc_cropland,body_length,0.0402269519779477,0.0361111111111111,2.82805673143359e-05,0.0183312327484806,3.2884380598065e-05,Endotherm
Aves,100km,bio1_mean,nocturnality,0.0140676774911751,0.627956989247312,1.17103605067561e-07,0.0291891002563715,1.42809274472636e-07,Endotherm
Aves,100km,bio6_mean,nocturnality,3.84119813956904e-05,0.99,0.742164313713577,0.000114224056946906,0.757310524197527,Endotherm
Aves,100km,bio4_mean,nocturnality,0.0278705703947151,0.308235294117647,1.18340357007236e-30,0.130471780021822,2.04035098288338e-30,Endotherm
Aves,100km,bio12_mean,nocturnality,0.00990713831990064,0.76734693877551,0.945532097165794,4.92602151033265e-06,0.955082926430095,Endotherm
Aves,100km,bio15_mean,nocturnality,0.00203550502204116,0.890909090909091,0.0458235508228012,0.00420019684100363,0.0498082074160883,Endotherm
Aves,100km,npp,nocturnality,0.0262537206492534,0.406741573033708,2.05865019384915e-05,0.0189570435100217,2.45077404029661e-05,Endotherm
Aves,100km,elev_range,nocturnality,-0.0352991718307119,0.0257142857142857,1.06673154549085e-35,0.151391854771949,2.05140681825163e-35,Endotherm
Aves,100km,het_shannon,nocturnality,-0.0202852963471128,0.358620689655172,5.55463593093971e-35,0.148450017811498,1.04804451527164e-34,Endotherm
Aves,100km,hfp2020,nocturnality,0.00966307392342521,0.7125,0.485862235753812,0.000512456015017475,0.506106495576888,Endotherm
Aves,100km,lc_cropland,nocturnality,0.0176305503248676,0.363636363636364,0.00051851945734103,0.0126349085827416,0.000569801601473659,Endotherm
Aves,100km,bio1_mean,verticality,0.189040417825593,0.00338983050847458,1.10295080711044e-143,0.497159730554446,6.12750448394688e-143,Endotherm
Aves,100km,bio6_mean,verticality,0.202526614010887,0.00338983050847458,4.35289885301605e-178,0.574485652372022,3.62741571084671e-177,Endotherm
Aves,100km,bio4_mean,verticality,-0.161484241556052,0.00338983050847458,1.1190914217278e-53,0.22205317040933,2.7977285543195e-53,Endotherm
Aves,100km,bio12_mean,verticality,0.217765351403595,0.00338983050847458,3.00004126099195e-274,0.733220207201183,1.00001375366398e-272,Endotherm
