estimate,se,z,p,term,n,lambda,class,clade,order,response,n_species,thermal,p_adj
0.346039074174455,0.208180171252702,1.66220957592744,0.0964707606634572,ax_thermal,162,0.763623745962976,Reptilia,LACERTIDAE,SQUAMATA,SES.habitat_breadth.var,31,Ectotherm,0.23607912002865
-0.670508914244848,0.103582910229189,-6.47316157425265,9.59732293637217e-11,ax_water,162,0.763623745962976,Reptilia,LACERTIDAE,SQUAMATA,SES.habitat_breadth.var,31,Ectotherm,7.03803682000625e-09
0.20993030880216,0.125257952686491,1.67598387407462,0.0937413513168628,ax_productivity,162,0.763623745962976,Reptilia,LACERTIDAE,SQUAMATA,SES.habitat_breadth.var,31,Ectotherm,0.231720194266402
-0.0839846619815741,0.0480407828794074,-1.74819511564567,0.0804302470930389,ax_structure,162,0.763623745962976,Reptilia,LACERTIDAE,SQUAMATA,SES.habitat_breadth.var,31,Ectotherm,0.208991980635455
-0.0763499986759055,0.0942285762053131,-0.810263741113394,0.417788609949364,ax_human,162,0.763623745962976,Reptilia,LACERTIDAE,SQUAMATA,SES.habitat_breadth.var,31,Ectotherm,0.602866306140888
0.162327054095364,0.127480674070601,1.27334637409796,0.202895157581488,ax_thermal,823,0.935154171283424,Reptilia,NATRICIDAE,SQUAMATA,SES.FDis,59,Ectotherm,0.381512262119038
0.161216494728365,0.0550083197380577,2.9307656641042,0.00338127739091476,ax_water,823,0.935154171283424,Reptilia,NATRICIDAE,SQUAMATA,SES.FDis,59,Ectotherm,0.0226824088682154
0.0253979054719526,0.0580001858206099,0.437893519005376,0.66146347393565,ax_productivity,823,0.935154171283424,Reptilia,NATRICIDAE,SQUAMATA,SES.FDis,59,Ectotherm,0.798300930630372
0.0163885321009484,0.0310102019014742,0.528488403687863,0.597160393618619,ax_structure,823,0.935154171283424,Reptilia,NATRICIDAE,SQUAMATA,SES.FDis,59,Ectotherm,0.757934345746709
-0.0527534487449757,0.0370895966630001,-1.42232468107698,0.154932017117789,ax_human,823,0.935154171283424,Reptilia,NATRICIDAE,SQUAMATA,SES.FDis,59,Ectotherm,0.317562519558201
